# List of words that jwordsplitter would otherwise split incorrectly.
# Use the pipe symbol (|) to mark the correct place to split the word.
# Add /NS to add 'n' and 's' as suffixes
Kultur|bedeutungen
Kultur|formen
Kultur|form
Kultur|kirche
Kultur|kraft
Kultur|kunde
Kultur|mensch
Kultur|menschen
Kriegs|erbe
Kleider|affen
Kinder|krankenhäuser
Kinder|krankenhäusern
Kautions|konto
Kautions|kontos
Karnevals|kater
Karnevals|katers
Jahres|konto
Informations|panne
Informations|pannen
Himmels|augen
Haupt|reise|tage
Haupt|reise|tagen
Handels|konto
Habichts|augen
Gesprächs|teile
Gesetzes|teile
Gesichts|teile
Geschlechts|tiere
Geschlechts|tieren
Geschäfts|konto
Geschäfts|kontos
Gewebe|kultur|zelle
Gewebe|kultur|zellen
Gemeinschafts|konto
Gemeinschafts|kontos
Gelenk|leiden
Gelenk|leidens
Geistes|erbe
Geistes|erben
Geistes|augen
Gehalts|teile
Gedulds|konto
Gedulds|kontos
Geburts|orte
Geburts|orts
Geburts|ortes
Geburts|orten
Funktions|teile
Funktions|teilen
Fremden|verkehrs|orte
Fremden|verkehrs|orten
Fraktions|konto
Fraktions|kontos
Flügel|ende
Flügel|enden
Flucht|raum
Flucht|raumes
Flucht|raums
Flucht|räume
Flucht|räumen
Flucht|orte
Flucht|orten
Finanzierungs|trick
Finanzierungs|tricks
Explosions|orte
Explosions|orten
Erholungs|trip
Erholungs|trips
Ergänzungs|teile
Ergänzungs|teilen
Erfolgs|konto
Erfolgs|kontos
Entwicklungs|konto
Entwicklungs|kontos
Engels|augen
Einrichtungs|teile
Einrichtungs|teilen
Einkaufs|trip
Einkaufs|trips
Ehren|orden
Ehren|ordens
Drachen|orden
Drachen|ordens
Diktatur|geschichte
Demonstrations|orte
Demonstrations|orten
Bundes|tier|ärzte|kammer
Bundes|tier|schutz|gesetz
Bundes|tier|schutz|gesetze
Bundes|tier|schutz|gesetzes
Blitzes|eile
Bleibe|fristen
Bildungs|trip
Bildungs|trips
Bildungs|konto
Bildungs|kontos
Bezirks|tier|schau
Berichts|teile
Beleuchtungs|trick
Beleuchtungs|tricks
Ausstellungs|orte
Ausstellungs|teile
Ausstellungs|teilen
Ausstattungs|teile
Ausstattungs|teilen
Aussichts|türme
Aussichts|türmen
Auslands|trip
Auslands|trips
Auslands|erben
Auslands|konto
Auslands|kontos
Ausgangs|konto
Ausgangs|kontos
Ausbildungs|konto
Ausbildungs|kontos
Aufstellungs|orte
Aufstellungs|orten
Aufführungs|orte
Aufführungs|orten
Aufbewahrungs|orte
Aufbewahrungs|orten
Attentats|orte
Attentats|orten
Arbeits|einsätzen
Arbeiter|kampf|lieder
Arbeiter|kampf|liedern
Anwalts|konto
Anwalts|kontos
Aktions|orte
Aktions|orten
Agentur|text
Agentur|texte
Agentur|texts
Agentur|texten
Agentur|welt
Abwicklungs|konto
Abwicklungs|kontos
Abstimmungs|orte
Abstimmungs|orten
Abfahrts|orte
Abfahrts|orten
Versicherungs|konto
Versicherungs|kontos
Vertrauens|konto
Vertrauens|kontos
Ausgleichs|konto
Ausgleichs|kontos
Beitrags|konto
Beitrags|kontos
Belastungs|konto
Belastungs|kontos
Darlehens|konto
Darlehens|kontos
Kapital|entwertungs|konto
Kapital|entwertungs|kontos
Punktier|nadel
Punktier|nadeln
Gottes|reich
Gottes|reichs
National|gericht
National|gerichts
National|gerichtes
National|gerichten
National|gefühl
National|gefühle
National|gefühls
National|gefühlen
Bundes|liga
Bundes|ligen
Bundes|tag
Bundes|tage
Bundes|tages
Bundes|tags
Fraktions|vorsitzender
Fraktions|vorsitzende
Fraktions|vorsitzenden
Grün|donnerstag
Grün|donnerstage
Grün|donnerstagen
grün|donnerstags
Haupt|augenmerk
Haupt|augenmerks
Haupt|augenmerkes
Haupt|augenmerken
Haupt|bahnhof
Haupt|bahnhofs
Haupt|bahnhöfen
Jung|stier
Jung|stiere
Jung|stiers
Jung|stieres
Jung|stieren
Segel|flugzeug
Segel|flugzeuge
Segel|flugzeugs
Segel|flugzeuges
Segel|flugzeugen
Spitzen|tänzerinnen
Tages|trip
Tages|trips
Business|trip
Business|trips
Urlaubs|trip
Urlaubs|trips
Selbst|erfahrungs|trip
Selbst|erfahrungs|trips
Bahn|steig|höhe
Bahn|steig|höhen
Ausflugs|ort
Ausflugs|orte
Ausflugs|ortes
Chorda|tier
Chorda|tiers
Chorda|tieres
Chorda|tiere
Chorda|tieren
Zugangs|orte
Zugangs|ortes
Zugangs|orten
Chart|erfolge
Chart|erfolgen
Chart|erfolges
Phasen|diagramm
Phasen|diagramms
Phasen|diagramme
Phasen|diagrammes
Farben|diagramm
Farben|diagramms
Farben|diagramme
Farben|diagrammes
Ablauf|diagramm
Ablauf|diagramms
Ablauf|diagramme
Ablauf|diagrammes
Zeit|diagramm
Zeit|diagramms
Zeit|diagramme
Zeit|diagrammes
Zustands|diagramm
Zustands|diagramms
Zustands|diagramme
Zustands|diagrammes
Sonder|angebot
Sonder|angebote
Sonder|angebots
Sonder|angebotes
Sonder|angeboten
Artikulations|orte
Pfeiler|hallen
Einsteiger|spielen
Renn|erfolge
hinwegzu|gleiten
Kurs|teile
Kurs|teiles
Kurs|teils
Kurs|teilen
Opium|feld
Opium|felds
Opium|feldes
Opium|felder
Opium|feldern
Orts|teile
Orts|teils
Orts|teiles
Orts|teilen
Schalt|automaten
weg|schaltest
weg|schautest
Baumwoll|samt
Cord|samt
Beobachtungs|achsen
Bewegungs|achsen
Bezugs|achsen
Bindungs|achsen
Zwillings|achsen
Deklinations|achsen
Rotatations|achsen
Neigungs|achsen
Schiffs|achsen
Monats|achsen
Schwerpunkt|achsen
Verbindungs|achsen
Rechts|achsen
Einfalls|achsen
Entwicklungs|achsen
Richtungs|achsen
Flugrichtungs|achsen
Orts|achsen
Führungs|achsen
Hauptverbindungs|achsen
Hauptverkehrs|achsen
Fernverkehrs|achsen
Antriebs|achsen
Ausbreitungs|achsen
Spannungs|achsen
Schwerpunkts|achsen
